# PyRadio Playlist File - Format:,,,,,,,,,
# name,url,encoding,icon,profile,buffering,force-http,volume,referer,player
中国之声,https://ytcast2.radio.cn/110/radios/40639/index_40639.m3u8?type=1&key=97aff6071bd080f7fcff89e7c1dc0847&time=68f853cf
经济之声,https://ytcast2.radio.cn/110/radios/40640/index_40640.m3u8?type=1&key=0e195044eedb53109db2304ccc6353b1&time=68f853cf
音乐之声 - Music Radio,https://ytcast2.radio.cn/110/radios/40641/index_40641.m3u8?type=1&key=6382bb0e2d539c4c9a713f04136cae8b&time=68f853cf
台海之声,https://ytcast2.radio.cn/110/radios/40643/index_40643.m3u8?type=1&key=738715f6e62895a9d4017d44022369f7&time=68f853cf
神州之声,https://ytcast2.radio.cn/110/radios/40644/index_40644.m3u8?type=1&key=1ca481d625ba0a58e0d6534d0aff9bdc&time=68f853cf
民族之声,https://ytcast2.radio.cn/110/radios/40647/index_40647.m3u8?type=1&key=2a7eb5a7044a26b94eb5514387ba6866&time=68f853cf
文艺之声,https://ytcast2.radio.cn/110/radios/40648/index_40648.m3u8?type=1&key=e0ece74f64de98349371a6717a87755a&time=68f853cf
老年之声,https://ytcast2.radio.cn/110/radios/40649/index_40649.m3u8?type=1&key=df8ca6ad3fabb069b3b0767de25578c0&time=68f853cf
阅读之声,https://ytcast2.radio.cn/110/radios/40652/index_40652.m3u8?type=1&key=94e0f621f3480e900cf94b9b3b177055&time=68f853cf
北京新闻广播,https://brtv-radiolive.rbc.cn/alive/fm945.m3u8
北京文艺广播,https://brtv-radiolive.rbc.cn/alive/fm876.m3u8
北京音乐广播,https://brtv-radiolive.rbc.cn/alive/fm974.m3u8
北京交通广播,https://brtv-radiolive.rbc.cn/alive/fm1039.m3u8
北京新城广播,https://ls.qtfm.cn/live/20500023.m3u8
北京城市广播,https://brtv-radiolive.rbc.cn/alive/fm1073.m3u8
北京体育广播,https://brtv-radiolive.rbc.cn/alive/fm1025.m3u8
北京外语广播,https://live.ximalaya.com/radio-first-page-app/live/96/64.m3u8?transcode=ts
天津滨海广播,https://live.ximalaya.com/radio-first-page-app/live/2355/64.m3u8?transcode=ts
上海新闻广播,https://ytcast.radio.cn/78/radios/20849/index_20849.m3u8?type=1&key=3631a2ee22e3b253def068a4e9168a9b&time=68f86076
上海交通广播,https://ytcast.radio.cn/64/radios/21312/index_21312.m3u8?type=1&key=80e5b80055d2775d2c7a38160011cbfb&time=68f875a5
上海东广新闻台,https://ytcast.radio.cn/69/radios/20843/index_20843.m3u8?type=1&key=75bbc185ec5f89b167f179b9480723b4&time=68f875a6
上海故事广播,rtmp://l3.smgtech.net/AppName/1072
上海戏剧曲艺广播,https://ytcast.radio.cn/69/radios/21314/index_21314.m3u8?type=1&key=849eac935e13b3af8c94f0bad30329f1&time=68f8a7da
上海五星体育广播,https://ytcast.radio.cn/64/radios/20845/index_20845.m3u8?type=1&key=21ed923e273fb994b7b08346db63a414&time=68f875a8
上海经典947电台,https://ytcast.radio.cn/64/radios/21316/index_21316.m3u8?type=1&key=004028332d76398968bcb1265318d77d&time=68f86b3a
上海流行音乐LoveRadio,https://ytcast.radio.cn/64/radios/21313/index_21313.m3u8?type=1&key=291dc25400157bedf5fa2e36551dc479&time=68f88f11
上海金山人民广播电台,https://ytcast.radio.cn/82/radios/20847/index_20847.m3u8?type=1&key=358d7a437462f51b50103e1ad40eaa6e&time=68f875aa
安徽之声,https://ytcast.radio.cn/70/radios/20599/index_20599.m3u8?type=1&key=465b888067493f92a29641f39fab88e7&time=68f875ab
安徽经济广播,https://satellitepull.cnr.cn/live/wxahjjgb/playlist.m3u8
安徽音乐广播,https://satellitepull.cnr.cn/live/wxahyygb/playlist.m3u8
安徽交通广播,https://satellitepull.cnr.cn/live/wxahjtgb/playlist.m3u8
安徽农村广播,https://satellitepull.cnr.cn/live/wxahncgb/playlist.m3u8
安徽小说评书广播,https://satellitepull.cnr.cn/live/wxahxspsgb/playlist.m3u8
安徽戏曲广播,https://satellitepull.cnr.cn/live/wxahxqgb/playlist.m3u8
安徽旅游广播,https://satellitepull.cnr.cn/live/wxahlygb/playlist.m3u8
合肥文艺广播,https://ls.qtfm.cn/live/20211585.m3u8
合肥交通广播,https://ytcast.radio.cn/57/radios/22296/index_22296.m3u8?type=1&key=e5b8e8d98d0f8d750b9318764552aea2&time=68f875b1
合肥故事广播,https://ytcast.radio.cn/75/radios/21433/index_21433.m3u8?type=1&key=b29300d29b0b63d0db3377c2208fe0be&time=68f875b2
淮北交通广播,https://ytcast.radio.cn/86/radios/21337/index_21337.m3u8?type=1&key=206d2670c81e0d43b32a78462211d5de&time=68f875b2
滁州文艺故事广播,https://ytcast.radio.cn/85/radios/20943/index_20943.m3u8?type=1&key=664d1da0971a2d9d2e4a5f2ed87fd3bb&time=68f8871e
芜湖新闻广播,http://live1.wuhubtv.com/channel5/sd/live.m3u8
芜湖交通经济广播,http://live1.wuhubtv.com/channel6/sd/live.m3u8
安徽天长人民广播电台,https://live.ximalaya.com/radio-first-page-app/live/1640/64.m3u8?transcode=ts
福建经济广播,https://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
福建交通广播,https://ytcast.radio.cn/63/radios/20473/index_20473.m3u8?type=1&key=659e783b3d07d83f4540c8d77d10180d&time=68f8872b
福建音乐广播,https://satellitepull.cnr.cn/live/wx32fjdnyygb/playlist.m3u8
福建新闻广播,https://satellitepull.cnr.cn/live/wx32fjxwgb/playlist.m3u8
福建私家车都市广播,https://ytcast.radio.cn/63/radios/20472/index_20472.m3u8?type=1&key=1be8ef534a3237a12470130b449e0c1f&time=68f8a807
